Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Luli😁,2024-07-16 03:33:57,02:07:32,Autoplayed: user action: User_Interaction; ,Miracle in Cell No. 7,,LG 2019 RTK K5Lp Standard UHD TV Smart TV,02:07:09,02:07:09,BR (Brazil)
Luli😁,2024-07-16 01:23:32,00:00:02,,Smurfs: The Lost Village,,Netflix Chrome MAC (Cadmium) HTML 5,00:00:02,00:00:02,BR (Brazil)
Luli😁,2024-07-16 01:21:43,00:00:10,Autoplayed: user action: None; ,The Smurfs: Season 1_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:10,00:00:10,BR (Brazil)
Luli😁,2024-07-16 01:21:15,00:00:09,Autoplayed: user action: None; ,Violet Evergarden the Movie_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:09,00:00:09,BR (Brazil)
Luli😁,2024-07-16 01:20:18,00:00:08,Autoplayed: user action: None; ,Back Street Girls: Season 1 (Trailer),TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:09,00:00:09,BR (Brazil)
Luli😁,2024-07-16 01:18:50,00:00:11,Autoplayed: user action: None; ,Parasyte: The Maxim: Season 1_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:11,00:00:11,BR (Brazil)
Luli😁,2024-07-16 01:17:12,00:00:12,Autoplayed: user action: None; ,Mamma Mia!_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:00,00:00:00,BR (Brazil)
Luli😁,2024-07-16 01:17:03,00:00:01,,"Sex and the City: Season 4: My Motherboard, My Self (Episode 8)",,Netflix Chrome MAC (Cadmium) HTML 5,00:11:14,00:11:14,BR (Brazil)
Luli😁,2024-07-15 22:27:15,00:00:01,,"Sex and the City: Season 4: My Motherboard, My Self (Episode 8)",,Netflix Chrome MAC (Cadmium) HTML 5,00:11:12,Not latest view,BR (Brazil)
Luli😁,2024-07-15 21:11:20,00:10:39,,"Sex and the City: Season 4: My Motherboard, My Self (Episode 8)",,Netflix Chrome MAC (Cadmium) HTML 5,00:11:11,Not latest view,BR (Brazil)
Luli😁,2024-07-15 20:48:07,00:20:19,,Sex and the City: Season 4: Time and Punishment (Episode 7),,Netflix Chrome MAC (Cadmium) HTML 5,00:28:46,00:28:46,BR (Brazil)
Luli😁,2024-07-15 19:48:41,00:09:21,,Sex and the City: Season 4: Time and Punishment (Episode 7),,Netflix Chrome MAC (Cadmium) HTML 5,00:09:27,Not latest view,BR (Brazil)
Luli😁,2024-07-15 19:37:30,00:07:33,,"Sex and the City: Season 4: Baby, Talk Is Cheap (Episode 6)",,Netflix Chrome MAC (Cadmium) HTML 5,00:28:48,00:28:48,BR (Brazil)
Luli😁,2024-07-15 17:17:48,00:20:43,,"Sex and the City: Season 4: Baby, Talk Is Cheap (Episode 6)",,Netflix Chrome MAC (Cadmium) HTML 5,00:21:15,Not latest view,BR (Brazil)
Luli😁,2024-07-08 05:27:05,00:07:32,,The Thundermans: Season 2: Mall Time Crooks (Episode 18),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:07:57,00:07:57,BR (Brazil)
Luli😁,2024-07-08 01:46:04,00:00:15,Autoplayed: user action: None; ,Supporting Character Clip: Leave the World Behind,HOOK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:15,00:00:15,BR (Brazil)
Luli😁,2024-07-08 01:45:41,00:00:07,Autoplayed: user action: None; ,Crossroads_hook_04_16x9,HOOK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:07,00:00:07,BR (Brazil)
Luli😁,2024-07-08 01:45:07,00:00:24,Autoplayed: user action: None; ,A Rainy Day in New York_hook_primary_16x9,HOOK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:24,00:00:24,BR (Brazil)
